"ID","MOBILE","ADDRESS","EMAIL","NAME","PASSWORD","ACCOUNT TYPE"
"3","1","Portugal","d@g.com","b","1","customer"
"2","1","Argentina","messi@gmail.com","a","1","customer"
"4","1","india","kcmsdkc@good.com","c","1","customer"
"5","1","Nigeria","d@gmail.com","d","1","customer"
"6","1","qatar","e@g.com","e","1","customer"
"7","1","Kuwait","f@g.com","f","1","customer"
"8","1","Iceland","g@g.com","g","1","customer"
"9","1","UK","h@g.com","h","1","customer"
"12","000000000","Mohammadpur","afnan@gamil.com","Afnan","123","customer"
"13","01771300000","Cumilla","d@g.com","mahi","123","customer"
"10","1","Singapore","i@g.com","i","1","customer"
"11","1","Bangladesh","j@g.com","j","1","customer"
"1","1","qwe","d@g.com","p","1","customer"
